date,user,location,text
2021-03-06 10:35:34,RWDMolenbeek,"Sint-Jans-Molenbeek, België",🏳️‍🌈Matchday: R.W.D.M - @KMSKDeinze 🏟E. Machtens Stadion 🕙20:45 📺 @ElevenSportsBEn @ElevenSportsBEf #NOtoRacism… https://t.co/wLVRaSLDwV
2021-03-06 10:24:42,motsetse_sello,,"I've never seen I a white Human ever since I was born ,Sooo stop saying ""white man or white people ""

Because white… https://t.co/fFoY0z0noN"
2021-03-06 07:24:48,amirjon4628,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/eUAvPHausu"
2021-03-06 07:12:20,future_nostalgi,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/u5Nt9o9vUz"
2021-03-06 07:09:39,NJ7twt,,"@Nili10724948 @MehradHidden Whenever the hater starts to hate, BTS does not say anything, but the Army always play… https://t.co/9VpcLDEU89"
2021-03-06 07:06:38,Xhtly1,,"@BunyaratwanitB @BTS_twt Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied… https://t.co/2aiOowbhuT"
2021-03-06 06:57:56,_im_pudding_,,"RACISM IS NOT AN OPINION  
#Matuschik_OUT
#NOtoRacism
#NEINzuRassismus 
#GermanMEDIA_racism 
#DeutscheMEDIEN_Rassismus"
2021-03-06 06:56:48,smartzyofficial,"Lagos, Nigeria",A Thread 👇 👇 👇 #NOtoRacism #AlperenDuymaz https://t.co/s0bD99KhSD
2021-03-06 06:48:14,Mohi81933368,,"Hi army, This is Iranian armys
We just found that @mehradhiddenofficial
Has been coppied Army logo and we announced… https://t.co/vPwTXgzhkX"
2021-03-06 06:25:25,Xhtly1,,"@jjk_mae Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, w… https://t.co/JRNKUOWN1h"
