created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,text_processed
2021-03-22 23:16:07,Can we have an investigation on this @SukhpalKhaira #FarmersProtest https://t.co/qe5ttozzPE,0,0,LyllpuriaDeep1,905,False,have investig thi
2021-03-22 23:14:39,Captain Saab @capt_amarinder You need to investigate this. Police officers need to be punished. #FarmersProtest https://t.co/qe5ttozzPE,0,0,LyllpuriaDeep1,905,False,captain saab amarind need investig thi polic offic need punish
2021-03-22 23:14:12,"There is no compromise when it comes to injustice. You have to fight it.Stand with our farmers

 #FarmersProtest

 23:14:12",0,0,DigitalKisanBot,2330,False,there compromis when come injustic have fight stand with
2021-03-22 23:12:51,"Farmers in India are fighting for their livelihoods. 🙏✊🏼
#IStandWithFarmers
#FarmersProtest https://t.co/RT8djhdopQ",1,2,SHERNI__,142,False,india fight their livelihood
2021-03-22 22:46:41,What about COVID-19? Anyone?? #FarmersProtest #FarmersCallBJPboycott #23March_किसानों_के_साथ #kisanEktaMorcha https://t.co/LveF3qntSk,0,1,DivdeepM,94,False,what about covid anyon
2021-03-22 22:41:15,"Guys follow kro Ranjit veere de account nu @RanjitS29405845 ....🙏❤
.
.
#ranjitsingh 
#FarmersProtest",0,1,Komlprit_24,522,False,guy follow ranjit veer account
2021-03-22 22:13:00,"🚨 Everyone please read and share
#23March_किसानों_के_साथ
#FarmersProtest = #HumanRights
#StandWithFarmers https://t.co/lwx9rr6NRg",0,0,rebelpacifist,259,False,everyon pleas read share
2021-03-22 22:10:16,"Are you kidding me @Facebook???
#23March_किसानों_के_साथ
#FarmersProtest = #HumanRights
#StandWithFarmers https://t.co/lwx9rr6NRg",0,0,rebelpacifist,259,False,kid
2021-03-22 22:08:26,"Salute to great Martyrs and Farmers.
Jai Kisan
#FarmersProtest 
#23March_किसानों_के_साथ https://t.co/y7dgLlX1kD",0,1,Singhfarmer1313,119,False,salut great martyr kisan
2021-03-22 22:03:23,"#23March_किसानों_के_साथ #FarmersProtest 

👏👏👏👏They are all Fake https://t.co/pvt5eICcvm",0,1,Fakeer16771146,237,False,they fake
2021-03-22 22:02:12,"#23March_किसानों_के_साथ #FarmersProtest 

Honour our Martyrs https://t.co/jn7KI7JdB9",0,0,Fakeer16771146,237,False,honour martyr
2021-03-22 21:59:06,"#23March_किसानों_के_साथ #FarmersProtest   

His legacy continues https://t.co/rWs6KSe6Le",1,1,Fakeer16771146,237,False,legaci continu
2021-03-22 21:58:01,"#23March_किसानों_के_साथ #FarmersProtest 

Save agriculture support farmer protest https://t.co/QyjXLVReRj",0,0,Fakeer16771146,237,False,save agricultur support
2021-03-22 21:57:04,"#23March_किसानों_के_साथ #FarmersProtest 

Respect Farmer Support Farmersprotest https://t.co/jBax9wDbS5",0,0,Fakeer16771146,237,False,respect support
2021-03-22 21:56:10,"#23March_किसानों_के_साथ #FarmersProtest 

It’s time to correct this grave mistake https://t.co/8uF3zkCgzw",0,1,Fakeer16771146,237,False,time correct thi grave mistak
2021-03-22 21:52:52,Bollywood starts who lost my respect @ajaydevgn @akshaykumar @iamsunnydeol #spineless #FarmersProtest,0,0,scorpion_trader,44,False,bollywood start lost respect
2021-03-22 21:47:32,"#23March_किसानों_के_साथ #FarmersProtest 

India 🇮🇳 stand against crony capitalism https://t.co/G9wHIJnMOw",2,2,Fakeer16771146,237,False,india stand against croni capit
2021-03-22 21:47:29,"DAY: 117
DEATH TOLL: 300

#FarmersProtest
#KisaanMajdoorEktaZindabaad",3,8,jottt,1895,False,117death toll
2021-03-22 21:35:31,"I have a feel the creator isn't too kind to Genocidal Narcissists.

#23March_किसानोंकेसाथ
#FarmersProtest https://t.co/eUutFBh31z",1,2,mandeeptoronto,677,False,have feel creator isnt kind genocid narcissist
2021-03-22 21:33:44,For my dearest Andhbhakt  #FarmersProtest https://t.co/mMpso1n1TF,3,3,butterfly0o0o0,530,False,dearest andhbhakt
