id,date,content,username,retweet_counter,favorite_count,reply_count,user_followers_count,country
1365610475753328640,2021-02-27 10:31:23+00:00,"मेरठ की किसान महापंचायत कवर करने पहुँचे ABP न्यूज़ के सीनियर रिपोर्ट रक्षित सिंह ने महापंचायत के मंच पर चढ़ नोकरी छोड़ी। उन्हों ने आरोप लगाया की न्यूज चैनल खबर सच्ची खबर नहीं दिखाती.
#FarmersProtest 1/3 https://t.co/03ZInJ4XTZ",zoo_bear,5919,18613,410,237275,India
1360882069161803779,2021-02-14 09:22:23+00:00,"disha ravi, a 21-year-old climate activist, has been arrested by delhi police for sharing a toolkit @GretaThunberg  posted in support of the #farmersprotest. 

disha’s arrest is alarming and the world needs to pay attention. #freedisharavi

https://t.co/IYGsLpNjwZ",rupikaur_,4623,8905,643,272886,
1360169510079111173,2021-02-12 10:10:56+00:00,"मध्यप्रदेश में निजी व्यापारी 200 करोड़ का धान खरीदकर भाग गया। किसान पैसे के लिए धरना दे रहे है।
अब भी बताना पड़ेगा काला क्या है
#FarmLaws #FarmersProtest #किसान_एकता_जिंदाबाद",RakeshTikaitBKU,7664,25685,570,257906,"Sisauli, India"
1359013362881994752,2021-02-09 05:36:49+00:00,To all of my influencer/celeb friends- read up on this   #FarmersProtest 👀,AmandaCerny,15661,81331,2027,1131254,"Florida, USA"
1358826225762897920,2021-02-08 17:13:12+00:00,I am calling on leaders across the world to demand the immediate release of Nodeep Kaur – a worker and Dalit rights activist jailed and brutalized for organizing in solidarity with the #Farmersprotest. #FreeNodeepKaur https://t.co/iKWQUOjWd0,GurratanSingh,6693,19018,337,27812,"Brampton, Ontario"
1358164266474348544,2021-02-06 21:22:49+00:00,"Ate a wheat tandoori roti. Grateful. Amazed at the smell &amp; taste of pure wheat. If 1 farmer dies, we all die. If 1 farmer protests, we all protest... Annadhaatha sukhi bhava...god bless and save my saviour. The farmer decides the quantity and price of his harvest. #FarmersProtest",Actor_Siddharth,8105,41723,1916,4337301,India under siege 
1357965078373388289,2021-02-06 08:11:19+00:00,"Happy to see so many supporting the #FarmersProtest in New Delhi. These farmers deserve the right to farm their land and survive. Let's stand with them!

 #standwithfarmers",PhogatRitu,6885,31661,898,162468,"Balali,Haryana"
1357903782324047872,2021-02-06 04:07:44+00:00,"दिल्ली के अंदर छोटे छोटे ग्रुप में बंटे हुए आंदोलनकारी अचानक फ्लैश प्रोटेस्ट करके ट्रैफिक रोक सकते हैं : - खुफिया रिपोर्ट। 
#FarmersProtest",DChaurasia2312,3041,17858,476,901822,"New Delhi, Delhi"
1357848864556998660,2021-02-06 00:29:31+00:00,"The Indian government is going after @rihanna, @GretaThunberg and @meenaharris for supporting the #FarmersProtest because they’re scared the world will find out what's happening. Keep telling the truth. Keep standing in solidarity.
 https://t.co/rHtVU4eJA7",PiperPerabo,6823,18876,1373,185715,
1357768519430070276,2021-02-05 19:10:15+00:00,Standing in solidarity with the #FarmersProtest in India. Read about who they are and why they’re protesting below. https://t.co/yWtEkqQynF,SusanSarandon,15156,47341,3362,711751,"New York, NY"
1357755699162398720,2021-02-05 18:19:19+00:00,There has been much social media coverage around the #FarmersProtest in #India. Very useful guide to the legislation and the impact on farmers. 1/2 https://t.co/3CsdgBebdZ,BobBlackman,20112,42748,1846,24659,Harrow East
1357579938224775169,2021-02-05 06:40:54+00:00,"पुलिस को इनपुट मिला है कि 26 जनवरी की तरह 6 फरवरी के लिए भी इंटरनेशनल साजिश पाकिस्तान के जरिए रची जा रही है.
#FarmersProtest",DChaurasia2312,5283,27960,3376,901822,"New Delhi, Delhi"
1357504010043940864,2021-02-05 01:39:11+00:00,"""Why aren’t we talking about this?!"" asked @rihanna, referring to India's #FarmersProtest  

So on my @MehdiHasanShow show tonight... I did. 

Here's my mini-rant on Modi, India's descent into authoritarianism, and why it should matter to us in America:
https://t.co/JB7mGDmWO0",mehdirhasan,11140,25618,1387,1062371,Washington DC
1357381937904701440,2021-02-04 17:34:07+00:00,"this week @rihanna , @GretaThunberg &amp; @meenaharris  brought awareness to india’s #farmersprotest and look at the response. misogyny and rightwing regimes go hand in hand. 

i implore the world to keep their eyes open and bring international attention to modi’s harmful farm laws https://t.co/Z86C957tZQ",rupikaur_,5782,16870,908,272886,
1357373229044625409,2021-02-04 16:59:31+00:00,"I still #StandWithFarmers and support their peaceful protest.
No amount of hate, threats or violations of human rights will ever change that. #FarmersProtest https://t.co/5VwwBSDXu0",meenaharris,10458,33730,1553,717940,"San Francisco, CA"
1357352171142959108,2021-02-04 15:35:50+00:00,India: Protect press freedom for journalists covering the #FarmersProtest https://t.co/l5cxSilXkx https://t.co/FWO10I4Bv3,jimmurphySF,7357,27801,542,18157,"San Francisco, CA"
1357282507616645122,2021-02-04 10:59:01+00:00,"I still #StandWithFarmers and support their peaceful protest.
No amount of hate, threats or violations of human rights will ever change that. #FarmersProtest",GretaThunberg,67663,234580,39588,4975223,Sverige
1357252348083634180,2021-02-04 08:59:10+00:00,"I am completely disappointed to see young women being abused, trolled and disrespected for speaking about the #FarmersProtest and #IndianFarmersHumanRights 

Young women will change this world and make it a better place!",vanessa_vash,7966,25956,931,207747,Planet Earth 🌍 
1357206211465248768,2021-02-04 05:55:51+00:00,"Quick Update: 
Not a single tweet from Rihana and Mia Khalifa about Pandemic in 2020, State Capitol Riots, Amazon Forest Fire, Australian Fire or any other disaster happened in 2020. Whole timeline full of Brand Endorsement and Promotions. 
#FarmersProtest",vivekagnihotri,6378,22499,430,556501,Himalayas
1357163731914944513,2021-02-04 03:07:03+00:00,"Hashtag pushback! #FarmersProtest #Rihanna
Cartoon done for Patreon members. https://t.co/JVOY4BX6ch",satishacharya,9004,34009,479,186550,Kundapur (near Udupi)
1357151511957143556,2021-02-04 02:18:29+00:00,Raise your voice for the farmers! #farmersprotest https://t.co/vHfsnJbz4s,amirkingkhan,11306,51597,1168,2133686,"Bolton, England"
1357138419848159235,2021-02-04 01:26:28+00:00,"So Twitter being the mess it is right now with #GretaThunbergExposed and #IndiaAgainstPropaganda, and the India activists going dark, i guess the 15 year old in the U.S. has to explain the #FarmersProtest to y'all, so let me do that.
basically, first 3 farm bills were passed. 1/6",AlexandriaV2005,8039,25349,837,56631,"Manhattan, NY"
1357075217865035776,2021-02-03 21:15:19+00:00,"Are we going to address what’s happening in India ? Let my good people free !! Unfair to those who struggle, the farmers provide a way of living and they need to have a right to a way of life.   Join me and let’s bring awareness. #FarmersProtest ✊🏾✊🏾 

We all in this together !",BaronDavis,12712,30070,2335,1061519,"Los Angeles, CA"
1357054451769606147,2021-02-03 19:52:48+00:00,"Here’s an updated toolkit by people on the ground in India if you want to help. (They removed their previous document as it was outdated.)
#StandWithFarmers #FarmersProtest

https://t.co/ZGEcMwHUNL",GretaThunberg,15164,56031,10700,4975223,Sverige
